Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,place_id
180,2011,Epic Roasthouse (399 Embarcadero),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJJVhdD3CAhYARw2KuKNaUCEg
180,2011,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,EjZDYWxpZm9ybmlhIFN0ICYgTWFzb24gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA4LCBVU0EiZiJkChQKEgnzlfwOjYCFgBHym3KjpsLrbhIUChIJ85X8Do2AhYAR8ptyo6bC624aFAoSCZflF5rMgIWAEexQzSOq0gRwGhQKEgmjXLPJ0YCFgBHzb_DYPtcfwiIKDdWThhYVdJYJtw
180,2011,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJi9fuX5qAhYAR4Vq5RP3Acpg
180,2011,200 block Market Street,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJoYqVC5yAhYAR0kGJS3XRMkA,ChIJ853_SYOAhYARbqiqqP0_3mk
180,2011,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJY-bqepmAhYARSk9Xg_9tcLI,ChIJx0IToLGAj4ARDZRy0wE53Aw,ChIJk0BNgYKChYAR07s__gj4Mkk,ChIJfW9lsm18j4ARlqMzd3GMyew,ChIJHzlSglOEhYARe0AYeMHI1OU,ChIJD68LHxV-hYARbrsIqUJ5v5U,ChIJad3vsFB8j4AR4n-DSE55y6M,ChIJA5jJW0Z4j4ARIbEdb5Pe8t0,ChIJWcg3frGahYARBqZdudAziLQ,ChIJuRZzQYaahYARaPsRcV6pjUY,ChIJ_____yOBj4ARdytYLUBelnI,ChIJq6oaapl-hYAR-xPtXYFCmBo,ChIJezVrjzJ5hYARrrwGFehstHY,ChIJFwZtiPB7j4ARnNdxTNWXqzE,ChIJqw8_rIuEhYARzrA5ddcrjbY,ChIJV3vgraZ3j4ARMkp7967XN6w,ChIJ87ubltl5j4ARqSpzSfkE93g,ChIJbdxdj_N9j4ARpb2vZRn0b-8,ChIJuVRboWSHj4ARTiAZK_acZY8,ChIJN-eISFV6j4ARzKWY-TOJZlE
180,2011,Polk & Larkin Streets,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJN7-yMZGAhYARK0N0YjOId50,ChIJE7UWCJSAhYAR-vRULau2eA4,ChIJmezmdpSAhYAR_uM5VRjqhAc,ChIJT4DOLmv3MhUROXgQo9IKcHg,ChIJQZkTQeiAhYARaqJ1q6kUmSA,ChIJPYugVJGAhYARLGnvHUwQkqs,ChIJkV25rZaAhYARoj4Odxd8A5I,ChIJE2FTTeiAhYARdao7Z9_tN7o,ChIJC4ZCc5SAhYARLpOj_AMp9t4,ChIJaUzoB5SAhYARAcRJM7hRKhE,ChIJ5XgFsJSAhYARVJncHBgEy-Y,ChIJm5cgU5GAhYARFf_p09oI4eE,ChIJxwEfUpGAhYARnYilCWnogyw,ChIJb_n5rZSAhYARb3iHP5fRL8U,ChIJyUDcUuqAhYARsupfluLg78g,ChIJrc2cu5SAhYARLaAiSiOqWUw,ChIJE3iJ_eqAhYARhEx5Ifyfxn0,ChIJGc_SupSAhYARkuSijGFeFZ4,ChIJpd9-a5SAhYARpdrgXf8C_H8,ChIJsz6GLeuAhYAR1sicO_ho8fg
180,2011,Randall Museum,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJ3dPu2zl-j4ARe9aRil_Yrmk
180,2011,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,ChIJbe1g9WKAhYARkvgowaGoOzo
24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark,,,None
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,ChIJhxkuj6uAhYARJIV60DC-PFw
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,ChIJcyHa9fOAhYAR7reGSUvtLe4
48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,None
